Part Number,Manufacturer,Description,Category,Detailed Description,Primary Photo,Unit Price
1738-1228-ND,DFRobot,DFRDUINO UNO V3.0 ATMEGA328P,"Development Boards, Kits, Programmers",ATmega328P DFRduino Uno V3.0 AVR® ATmega AVR MCU 8-Bit Embedded Evaluation Board,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2304/MFG_DFR0216.jpg,12.9
1050-ABX00062-ND,Arduino,ARDUINO UNO MINI LE,"Development Boards, Kits, Programmers","The Arduino Uno Mini LE is a compact evaluation platform from Arduino, featuring the 8-bit ATmega328 MCU. This board offers a clock speed of 16 MHz and operates at a logic level of 5V, making it suitable for a wide range of embedded applications. It includes 14 digital I/O pins, 6 of which can be used as PWM outputs, and 6 analog input pins, providing versatile interfacing options. It includes 2KB SRAM, 32KB FLASH, and 1KB EEPROM. The Uno Mini LE supports I2C, SPI, and UART communication protocols and is fully compatible with the Arduino IDE, enabling easy programming and prototyping.",https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4021/MFG_ABX00062_01.iso.jpg,54.0
